park,name,geom,wkt
http://gnis-ld.org/lod/gnis/feature/1702882,La Mesa Park,http://gnis-ld.org/geometry/point/gnisf.1702882,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7226355 34.3980535)
http://gnis-ld.org/lod/gnis/feature/1702894,San Antonio Canyon Park,http://gnis-ld.org/geometry/point/gnisf.1702894,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7801392 34.4572191)
http://gnis-ld.org/lod/gnis/feature/1871984,City Hall Plaza,http://gnis-ld.org/geometry/point/gnisf.1871984,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6987458 34.4199972)
http://gnis-ld.org/lod/gnis/feature/1872122,Heath Ranch Park,http://gnis-ld.org/geometry/point/gnisf.1872122,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.5231791 34.4074948)
http://gnis-ld.org/lod/gnis/feature/1702870,Bella Vista Park,http://gnis-ld.org/geometry/point/gnisf.1702870,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8837504 34.4383282)
http://gnis-ld.org/lod/gnis/feature/1871933,La Playa Field,http://gnis-ld.org/geometry/point/gnisf.1871933,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6962452 34.4044418)
http://gnis-ld.org/lod/gnis/feature/1871936,Laurel Canyon Park,http://gnis-ld.org/geometry/point/gnisf.1871936,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7262483 34.4511083)
http://gnis-ld.org/lod/gnis/feature/1872045,Franklin Park,http://gnis-ld.org/geometry/point/gnisf.1872045,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6793002 34.4263857)
http://gnis-ld.org/lod/gnis/feature/1871813,Solvang Park,http://gnis-ld.org/geometry/point/gnisf.1871813,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.1395925 34.5958201)
http://gnis-ld.org/lod/gnis/feature/1871935,Las Positas Tennis Courts,http://gnis-ld.org/geometry/point/gnisf.1871935,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7395814 34.4144423)
http://gnis-ld.org/lod/gnis/feature/1662323,Channel Islands National Park,http://gnis-ld.org/geometry/point/gnisf.1662323,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7396508 34.0165513)
http://gnis-ld.org/lod/gnis/feature/1670681,Hans Christian Anderson Park,http://gnis-ld.org/geometry/point/gnisf.1670681,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.1445928 34.5999867)
http://gnis-ld.org/lod/gnis/feature/1871603,Russell Park,http://gnis-ld.org/geometry/point/gnisf.1871603,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4509976 34.9516448)
http://gnis-ld.org/lod/gnis/feature/1702869,Anisqovo Park,http://gnis-ld.org/geometry/point/gnisf.1702869,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8562495 34.4116627)
http://gnis-ld.org/lod/gnis/feature/1702893,Rincon Beach County Park,http://gnis-ld.org/geometry/point/gnisf.1702893,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.4817875 34.3780509)
http://gnis-ld.org/lod/gnis/feature/1702895,Santa Barbara Zoological Gardens,http://gnis-ld.org/geometry/point/gnisf.1702895,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6640214 34.4194411)
http://gnis-ld.org/lod/gnis/feature/1702897,Shoreline Park,http://gnis-ld.org/geometry/point/gnisf.1702897,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7065234 34.3966644)
http://gnis-ld.org/lod/gnis/feature/1871690,Beattie Park,http://gnis-ld.org/geometry/point/gnisf.1871690,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4437736 34.6316503)
http://gnis-ld.org/lod/gnis/feature/1872088,Spencer Adams Park,http://gnis-ld.org/geometry/point/gnisf.1872088,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7068018 34.421664)
http://gnis-ld.org/lod/gnis/feature/1871595,Memorial Park,http://gnis-ld.org/geometry/point/gnisf.1871595,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4379414 34.9580336)
