school,name,geom,wkt
http://gnis-ld.org/lod/gnis/feature/270683,Crane Country Day School,http://gnis-ld.org/geometry/point/gnisf.270683,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6200742 34.4245595)
http://gnis-ld.org/lod/gnis/feature/270725,Cuyama Valley High School,http://gnis-ld.org/geometry/point/gnisf.270725,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.674754 34.9437474)
http://gnis-ld.org/lod/gnis/feature/270847,Devereaux Ranch School,http://gnis-ld.org/geometry/point/gnisf.270847,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8762496 34.4105512)
http://gnis-ld.org/lod/gnis/feature/271053,Ellwood Elementary School,http://gnis-ld.org/geometry/point/gnisf.271053,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8959836 34.4302053)
http://gnis-ld.org/lod/gnis/feature/271168,Foothill Elementary School,http://gnis-ld.org/geometry/point/gnisf.271168,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8010358 34.4501295)
http://gnis-ld.org/lod/gnis/feature/271348,Goleta Valley Junior High School,http://gnis-ld.org/geometry/point/gnisf.271348,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8348111 34.450572)
http://gnis-ld.org/lod/gnis/feature/271620,Hope School,http://gnis-ld.org/geometry/point/gnisf.271620,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7538862 34.444621)
http://gnis-ld.org/lod/gnis/feature/271741,Isla Vista Elementary School,http://gnis-ld.org/geometry/point/gnisf.271741,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8688993 34.4165601)
http://gnis-ld.org/lod/gnis/feature/271925,La Colina Junior High School,http://gnis-ld.org/geometry/point/gnisf.271925,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7560071 34.4498853)
http://gnis-ld.org/lod/gnis/feature/271938,La Patera School,http://gnis-ld.org/geometry/point/gnisf.271938,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.847125 34.4474554)
http://gnis-ld.org/lod/gnis/feature/271953,Laguna Blanca School,http://gnis-ld.org/geometry/point/gnisf.271953,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7634763 34.4229841)
http://gnis-ld.org/lod/gnis/feature/272454,Midland School,http://gnis-ld.org/geometry/point/gnisf.272454,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.0873059 34.731822)
http://gnis-ld.org/lod/gnis/feature/272586,Mountain View School,http://gnis-ld.org/geometry/point/gnisf.272586,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.815463 34.4548826)
http://gnis-ld.org/lod/gnis/feature/273402,Saint Vincents School,http://gnis-ld.org/geometry/point/gnisf.273402,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7623608 34.4424975)
http://gnis-ld.org/lod/gnis/feature/273503,San Marcos High School,http://gnis-ld.org/geometry/point/gnisf.273503,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7880425 34.4382432)
http://gnis-ld.org/lod/gnis/feature/274273,Union School,http://gnis-ld.org/geometry/point/gnisf.274273,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8231943 34.4349963)
http://gnis-ld.org/lod/gnis/feature/274278,University of California Santa Barbara,http://gnis-ld.org/geometry/point/gnisf.274278,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8463925 34.4163232)
http://gnis-ld.org/lod/gnis/feature/274308,Dunn School,http://gnis-ld.org/geometry/point/gnisf.274308,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.1019543 34.656001)
http://gnis-ld.org/lod/gnis/feature/274350,Vista Del Mar Union School,http://gnis-ld.org/geometry/point/gnisf.274350,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.1995933 34.4741559)
http://gnis-ld.org/lod/gnis/feature/1872000,Guadalupe School,http://gnis-ld.org/geometry/point/gnisf.1872000,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6837449 34.4230525)
http://gnis-ld.org/lod/gnis/feature/1871714,Lompoc High School,http://gnis-ld.org/geometry/point/gnisf.1871714,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.464175 34.6479254)
http://gnis-ld.org/lod/gnis/feature/2518331,Anacapa School,http://gnis-ld.org/geometry/point/gnisf.2518331,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6971311 34.4222211)
http://gnis-ld.org/lod/gnis/feature/1871669,Saint Louis De Montfort Catholic School,http://gnis-ld.org/geometry/point/gnisf.1871669,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4147974 34.8635202)
http://gnis-ld.org/lod/gnis/feature/1871750,Ballard Elementary School,http://gnis-ld.org/geometry/point/gnisf.1871750,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.1136578 34.6396093)
http://gnis-ld.org/lod/gnis/feature/2518371,Goleta Family School,http://gnis-ld.org/geometry/point/gnisf.2518371,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.801402 34.4501447)
http://gnis-ld.org/lod/gnis/feature/2518385,Sanchez Elementary School,http://gnis-ld.org/geometry/point/gnisf.2518385,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.446729 34.9393471)
http://gnis-ld.org/lod/gnis/feature/2518354,Garden Street Academy,http://gnis-ld.org/geometry/point/gnisf.2518354,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7156782 34.4391355)
http://gnis-ld.org/lod/gnis/feature/1872004,Lawrence M Parma School for Handicapped Children,http://gnis-ld.org/geometry/point/gnisf.1872004,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.682356 34.4249969)
http://gnis-ld.org/lod/gnis/feature/1871526,Alice Shaw Elementary School,http://gnis-ld.org/geometry/point/gnisf.1871526,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4261344 34.8895182)
http://gnis-ld.org/lod/gnis/feature/1872128,Main Elementary School,http://gnis-ld.org/geometry/point/gnisf.1872128,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.5181785 34.3955506)
http://gnis-ld.org/lod/gnis/feature/1871692,Cabrillo High School,http://gnis-ld.org/geometry/point/gnisf.1871692,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4740624 34.7122982)
http://gnis-ld.org/lod/gnis/feature/1871946,Monroe Elementary School,http://gnis-ld.org/geometry/point/gnisf.1871946,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.730586 34.4047575)
http://gnis-ld.org/lod/gnis/feature/1871836,Santa Barbara Montessori School,http://gnis-ld.org/geometry/point/gnisf.1871836,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8859586 34.4385595)
http://gnis-ld.org/lod/gnis/feature/1871707,La Cañada Elementary School,http://gnis-ld.org/geometry/point/gnisf.1871707,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4650753 34.6539335)
http://gnis-ld.org/lod/gnis/feature/1872065,Our Lady of Mount Carmel School,http://gnis-ld.org/geometry/point/gnisf.1872065,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6414823 34.4371557)
http://gnis-ld.org/lod/gnis/feature/2518353,San Lorenzo Seminary,http://gnis-ld.org/geometry/point/gnisf.2518353,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.0269875 34.6427642)
http://gnis-ld.org/lod/gnis/feature/2518362,The Santa Ynez Valley Family School,http://gnis-ld.org/geometry/point/gnisf.2518362,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.0857876 34.7349462)
http://gnis-ld.org/lod/gnis/feature/1871812,Solvang School,http://gnis-ld.org/geometry/point/gnisf.1871812,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.1417263 34.5978994)
http://gnis-ld.org/lod/gnis/feature/2518322,Childrens House Montessori School,http://gnis-ld.org/geometry/point/gnisf.2518322,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4136684 34.8842229)
http://gnis-ld.org/lod/gnis/feature/1871695,Clarence Ruth Elementary School,http://gnis-ld.org/geometry/point/gnisf.1871695,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4771374 34.6457166)
http://gnis-ld.org/lod/gnis/feature/1871722,Manzanita Public Charter School,http://gnis-ld.org/geometry/point/gnisf.1871722,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.5070217 34.7476148)
http://gnis-ld.org/lod/gnis/feature/1871552,Valley Christian Academy,http://gnis-ld.org/geometry/point/gnisf.1871552,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4296353 34.906359)
http://gnis-ld.org/lod/gnis/feature/1871803,Santa Ynez Elementary School,http://gnis-ld.org/geometry/point/gnisf.1871803,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.0877331 34.6161031)
http://gnis-ld.org/lod/gnis/feature/2518391,Santa Ynez Valley Charter School,http://gnis-ld.org/geometry/point/gnisf.2518391,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.0830258 34.6167326)
http://gnis-ld.org/lod/gnis/feature/1871892,Montessori Center School,http://gnis-ld.org/geometry/point/gnisf.1871892,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8313401 34.4474)
http://gnis-ld.org/lod/gnis/feature/1693218,San Julian School (historical),http://gnis-ld.org/geometry/point/gnisf.1693218,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.335434 34.5258199)
http://gnis-ld.org/lod/gnis/feature/1871527,Betteravia School (historical),http://gnis-ld.org/geometry/point/gnisf.1871527,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.5212785 34.9180342)
http://gnis-ld.org/lod/gnis/feature/1871849,Brandon Elementary School,http://gnis-ld.org/geometry/point/gnisf.1871849,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8936338 34.4388532)
http://gnis-ld.org/lod/gnis/feature/2551027,College Elementary School,http://gnis-ld.org/geometry/point/gnisf.2551027,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.0832627 34.61651)
http://gnis-ld.org/lod/gnis/feature/2518348,Foothill High School,http://gnis-ld.org/geometry/point/gnisf.2518348,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.5175637 34.4106545)
http://gnis-ld.org/lod/gnis/feature/1871972,Washington Elementary School,http://gnis-ld.org/geometry/point/gnisf.1871972,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7212324 34.3983793)
http://gnis-ld.org/lod/gnis/feature/1871557,Allan Hancock College - South Campus,http://gnis-ld.org/geometry/point/gnisf.1871557,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.421293 34.936414)
http://gnis-ld.org/lod/gnis/feature/1872102,Carpinteria High School,http://gnis-ld.org/geometry/point/gnisf.1872102,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.5175504 34.4106092)
http://gnis-ld.org/lod/gnis/feature/1871546,Pacific Christian School,http://gnis-ld.org/geometry/point/gnisf.1871546,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4241286 34.8955932)
http://gnis-ld.org/lod/gnis/feature/1871712,Lompoc Adult School,http://gnis-ld.org/geometry/point/gnisf.1871712,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4640741 34.6479485)
http://gnis-ld.org/lod/gnis/feature/2518367,Children's Montessori School,http://gnis-ld.org/geometry/point/gnisf.2518367,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.465617 34.7043638)
http://gnis-ld.org/lod/gnis/feature/1872124,Immaculate Heart of Mary Novitiate (historical),http://gnis-ld.org/geometry/point/gnisf.1872124,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6237417 34.4447178)
http://gnis-ld.org/lod/gnis/feature/2548516,Allan Hancock College - Vandenberg Air Force Base Center,http://gnis-ld.org/geometry/point/gnisf.2548516,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.537572 34.750463)
http://gnis-ld.org/lod/gnis/feature/1871653,Olive School (historical),http://gnis-ld.org/geometry/point/gnisf.1871653,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.2662666 34.8549799)
http://gnis-ld.org/lod/gnis/feature/1872078,Santa Barbara Community Academy,http://gnis-ld.org/geometry/point/gnisf.1872078,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7283506 34.4235906)
http://gnis-ld.org/lod/gnis/feature/2518390,Olive Grove Charter School,http://gnis-ld.org/geometry/point/gnisf.2518390,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.1109049 34.6650077)
